opportunity_id,sales_agent,product,account,deal_stage,close_value,close_month,close_year,is_won,is_lost,series,sales_price,manager,regional_office,sector,year_established,revenue,office_location,subsidiary_of,revenue_per_employee,company_size
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,1054.0,-1.4452846018008674,0.0,1,0,GTX,-0.30138512462321243,Dustin Brinkmann,Central,retail,0.6253603617617812,-0.9303956003067136,United States,Acme Corporation,-1.2404741786839795,Enterprise
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2713.125,-1.4452846018008674,0.0,1,0,,,Melvin Marxen,Central,medical,0.744006658540855,0.1514785781107112,United States,Acme Corporation,1.1663799010836005,Enterprise
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,50.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Melvin Marxen,Central,retail,0.6253603617617812,-0.9303956003067136,United States,Acme Corporation,-1.2404741786839795,Enterprise
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,588.0,-1.4452846018008674,0.0,1,0,GTX,-0.5098440840839051,Dustin Brinkmann,Central,software,0.2694214714245596,-0.05232346522440939,United States,Acme Corporation,3.1080261832299487,Enterprise
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,517.0,-1.4452846018008674,0.0,1,0,GTX,-0.5098440840839051,Summer Sewald,West,services,-1.6289192770406222,-0.8979167664484986,United States,Acme Corporation,0.6335017559232521,Enterprise
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,49.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Dustin Brinkmann,Central,medical,-0.4424563092498836,0.47880927394774275,United States,Acme Corporation,0.41828139155097527,Enterprise
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,57.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Celia Rouche,West,retail,-0.7983951995871053,-0.6356712960448375,United States,Acme Corporation,-0.6837999722140995,Enterprise
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,601.0,-1.4452846018008674,0.0,1,0,GTX,-0.5098440840839051,Celia Rouche,West,entertainment,-0.32381001247080976,0.6316498100941744,United States,Massive Dynamic,0.9277474101444079,Enterprise
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,1026.0,-1.4452846018008674,0.0,1,0,GTX,-0.30138512462321243,Melvin Marxen,Central,medical,-1.3916266834824746,-1.0524727339606814,United States,Acme Corporation,-0.8202357463835775,Enterprise
HAXMC4IX,James Ascencio,MG Advanced,Hottechi,Engaging,472.0,-0.7080868336021927,0.0,0,0,MG,0.5755933183826687,Summer Sewald,West,technolgy,0.1507751746454857,1.4400402433912887,Korea,Acme Corporation,-0.01896337969891462,Enterprise
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,53.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Dustin Brinkmann,Central,medical,1.9304696263315937,-0.9881396592030632,Philipines,Acme Corporation,-0.41398455798609224,Enterprise
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,0.0,-1.4452846018008674,0.0,0,1,,,Melvin Marxen,Central,retail,1.3372381424362243,-0.8531088194666954,Italy,Acme Corporation,0.26010942392324987,Enterprise
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2713.125,-1.4452846018008674,0.0,1,0,GTX,1.373158824451143,Summer Sewald,West,marketing,1.4558844392152983,-0.8530912252988415,Poland,Acme Corporation,0.34564748529645917,Enterprise
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2713.125,-1.4452846018008674,0.0,1,0,GTX,1.373158824451143,Summer Sewald,West,telecommunications,0.3880677682036334,-0.49879746722577845,United States,Acme Corporation,-1.0082077788842507,Enterprise
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2713.125,-1.4452846018008674,0.0,1,0,MG,0.5755933183826687,Celia Rouche,West,employment,-0.917041496366179,-0.3404279638312728,United States,Acme Corporation,0.36843042521092184,Enterprise
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,0.0,-1.4452846018008674,0.0,0,1,MG,-0.6988316022762914,Celia Rouche,West,telecommunications,0.3880677682036334,-0.49879746722577845,United States,Acme Corporation,-1.0082077788842507,Enterprise
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2713.125,-1.4452846018008674,0.0,1,0,MG,0.5755933183826687,Celia Rouche,West,software,0.032128877866411845,1.4400402433912887,United States,Bubba Gump,-0.01896337969891462,Enterprise
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,61.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Dustin Brinkmann,Central,telecommunications,-0.917041496366179,1.0698281619524515,United States,Sonron,0.6491234065390666,Enterprise
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,0.0,-1.4452846018008674,0.0,0,1,,,Rocco Neubert,East,entertainment,-0.7983951995871053,0.4418483258287584,United States,Acme Corporation,-0.23180775828795,Enterprise
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,46.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Celia Rouche,West,telecommunications,-0.2051637156917359,-0.7237520988631954,United States,Acme Corporation,-0.6447378599066178,Enterprise
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,0.0,-1.4452846018008674,0.0,0,1,GTX,1.373158824451143,Summer Sewald,West,retail,-0.6797489028080314,0.9391122918822411,United States,Acme Corporation,0.9321651496946803,Enterprise
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,50.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Dustin Brinkmann,Central,medical,-0.4424563092498836,0.47880927394774275,United States,Acme Corporation,0.41828139155097527,Enterprise
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,1014.0,-1.4452846018008674,0.0,1,0,GTX,-0.30138512462321243,Cara Losch,East,finance,-0.32381001247080976,-0.9622938266257514,United States,Golddex,1.3538202391723455,Large
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,561.0,-1.4452846018008674,0.0,1,0,GTX,-0.5098440840839051,Melvin Marxen,Central,services,0.1507751746454857,-0.3484201145788861,United States,Acme Corporation,-0.6872779844564971,Enterprise
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,590.0,-1.4452846018008674,0.0,1,0,GTX,-0.5098440840839051,Summer Sewald,West,entertainment,-0.4424563092498836,-1.1038872909716069,United States,Acme Corporation,-1.0159008099748683,Large
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,472.0,-0.7080868336021927,0.0,0,0,MG,0.5755933183826687,Summer Sewald,West,retail,-0.08651741891266201,1.0225966183487796,Japan,Acme Corporation,-0.4788425830747981,Enterprise
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,61.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Dustin Brinkmann,Central,medical,1.9304696263315937,-0.9881396592030632,Philipines,Acme Corporation,-0.41398455798609224,Enterprise
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,0.0,-1.4452846018008674,0.0,0,1,GTX,1.373158824451143,Cara Losch,East,entertainment,-0.7983951995871053,0.4418483258287584,United States,Acme Corporation,-0.23180775828795,Enterprise
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,58.0,-1.4452846018008674,0.0,1,0,MG,-0.6988316022762914,Celia Rouche,West,entertainment,-0.32381001247080976,0.6316498100941744,United States,Massive Dynamic,0.9277474101444079,Enterprise
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2713.125,-1.4452846018008674,0.0,1,0,,,Summer Sewald,West,medical,-1.2729803867034006,-0.04068052464712143,United States,Acme Corporation,-1.2192692457082053,Enterprise
